,Ligand SMILES,IC50 (nM)
78,OC(COc1c(Cl)cc(Cl)cc1CC1CCCCC1)C[C@@H](O)CC([O-])=O, 27
80,C[C@@H]1C[C@H](OCc2ccccc2)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 27
82,C[C@@H]1C[C@H](OC(=O)C=C(C)C)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 27
83,CNS(=O)(=O)c1c(C(C)C)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1-c1ccc(F)cc1)-c1ccc(F)cc1, 27
85,Cc1ccc(CC2CCCc3c2nn(c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c2ccc(F)cc2)cc1, 28
86,O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3cccc4ccccc34)c2nn1-c1ccc(F)cc1)CC([O-])=O, 28
88,COc1ccc(CC2CCCc3c2nn(c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c2ccc(F)cc2)cc1, 28
89,CC(C)c1c(Cl)c(Cl)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 28
90,CC(C)c1c(Br)c(Br)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 28
92,Cc1cc(F)ccc1C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1nnnn1C)c1ccc(F)cc1C, 29
93,Cc1cc(ccc1F)-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 29
95,Cc1cccc(c1)-c1nc(n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1)C(F)(F)F, 29
100,CC(C)c1cc(SC(C)(C)Sc2cc(C(C)C)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c2)-c2ccc(F)cc2)cc(c1[O-])-c1ccc(F)cc1, 30
103,CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(N)=O)-c1ccc(F)cc1, 30
104,CC[C@H](C)C(=O)O[C@H]1C[C@H](C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C/C, 30
105,Cc1cc(ccc1F)-c1cccc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 30
107,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(nc(cc1-c1ccc(F)cc1)-c1ccccc1)C1CCCCC1, 30
109,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12, 30
110,Cc1cc(cc(C)c1F)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1, 31
111,O[C@H](CCn1c(nc(c1-c1ccc(F)cc1)-c1ccccc1)C(F)(F)F)C[C@@H](O)CC([O-])=O, 31
112,CC(C)c1c(OC[C@@H](O)C[C@@H](O)CC(O)=O)n(nc1C(=O)N(C)Cc1cccc(c1)C(F)(F)F)-c1ccc(F)cc1, 31
113,COCc1cccc(CNC(=O)c2nn(c(OC[C@@H](O)C[C@@H](O)CC(O)=O)c2C(C)C)-c2ccc(F)cc2)c1, 31
118,CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccc(F)cc1, 32
