,Ligand SMILES,IC50 (nM)
278,CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC(CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C, 200
279,O[C@H](CCn1c(nc(c1-c1ccc(F)cc1)-c1ccc(cc1)C(F)(F)F)C(F)(F)F)C[C@@H](O)CC([O-])=O, 200
280,CCOC(=O)c1c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1-c1ccccc1)-c1ccc(F)cc1, 200
281,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccc(F)cc1, 200
282,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccc(F)cc1F, 200
283,CC(C)c1nc2ccc(F)cc2c(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 200
285,O[C@H](C[C@H](O)\C=C\c1c2CCCC(Cc3ccc(F)cc3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 200
286,O[C@H](CCn1c(nc(c1-c1ccccc1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O, 201
287,CC(C)c1sc(c(C2CCCCC2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 202
288,COCCOCc1sc(C(C)C)c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1-c1ccc(F)cc1, 206
289,O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2OCc2cccc(F)c2)OC(=O)C1, 210
290,O[C@H](CCn1c(nc(c1-c1cccs1)-c1ccc(F)cc1)C(F)(F)F)C[C@@H](O)CC([O-])=O, 215
291,CC(C)C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 230
294,CC(C)c1sc(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1F)-c1ccccc1, 233
295,CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1cccc2ccccc12, 234
296,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 240
297,C[C@@H]1CC(OC(=O)NCCCCCCCCCCC(=O)N[C@@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(cc2)-c2scnc2C)C(C)(C)C)[C@@H]2[C@@H](CC[C@@H](O)C[C@@H](O)CC=O)[C@@H](C)C=CC2=C1, 250
298,CC(C)c1c(OCC(O)C[C@@H](O)CC([O-])=O)c(nc2ccccc12)-c1ccc(F)cc1, 250
299,Cc1cccc(CCCOc2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O, 250
305,OC(COc1cc(OCc2ccc(F)cc2)c(Cl)cc1Cl)C[C@@H](O)CC([O-])=O, 260
306,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 260
308,C[C@@H]1C[C@H](OC(C)=O)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 269
309,C[C@@H]1C[C@H](OC(C)=O)C2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 269
310,Cc1cc(Cl)c(OCC(O)C[C@@H](O)CC([O-])=O)c(c1)C(c1ccc(F)c(C)c1)c1ccc(F)c(C)c1, 270
311,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)CN)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 270
312,CCOC(=O)c1c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1-c1ccc(cc1)C#N)-c1ccc(F)cc1, 280
313,CCC(C)(C)C(=O)O[C@H]1C[C@H](C)[C@H](O)[C@@H]2CC[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 289
314,CCCCCCCCCC(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 295
315,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C, 300
316,CC(C)c1cc(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccncc1, 310
317,CC(C)c1nc(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 316
318,COc1ccc(CC2CCCc3c2nn(c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c2ccc(F)cc2)cc1OC, 320
321,CC(C)c1sc(CO)c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 325
323,O[C@H](C[C@H](O)C=CC(=C(c1ccc(F)cc1)c1ccc(F)cc1)c1nnn[nH]1)CC([O-])=O, 330
324,O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2Oc2ccccc2)OC(=O)C1, 330
325,CC(C)c1cc(c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1)-c1ccccc1, 347
326,CCOC(=O)c1c(C(C)C)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1C(=O)OCC)-c1ccc(F)cc1, 350
327,CN(C)c1nc2ccccc2c(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 350
328,C[C@@H]1C[C@H](OCC(C)=C)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 360
329,Cc1ccc2c(C)cc(C)c(CCC3C[C@@H](O)CC(=O)O3)c2c1, 360
331,Cc1ccccc1-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 370
332,C[C@@H]1C[C@H](OCC=C)[C@@H]2[C@@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 370
334,O[C@@H]1C[C@@H](CCc2c(Cl)cc(Cl)cc2COc2ccccc2)OC(=O)C1, 390
336,CC(C)c1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 400
337,CC(C)c1cc(cc(-c2ccc(F)cc2)c1OCC(O)C[C@@H](O)CC([O-])=O)C(C)(C)C, 400
339,CC(C)c1cc(cc(CC2CCCCC2)c1OCC(O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 400
341,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 410
342,CC(C)c1sc(c(C2CCCC2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 417
343,COc1ccc(cc1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1, 418
344,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccccc1, 430.0
345,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1CCc1ccccc1, 430.0
346,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(OCc2ccccc2)cc1Cl, 450
347,COc1ccc(cc1)-c1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 470
348,[Na+].CC(C)c1nc2ccc(Cl)cc2c(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O, 480
349,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCCc1ccccc1, 480
350,CCCCCCCCC#CC#C\C=C\CCCC(O)=O, 500
351,Cc1nc(C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(n1)-c1ccc(F)cc1, 500
356,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccccc1F, 510
359,O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2Cc2ccccc2)OC(=O)C1, 530
360,O[C@H](C[C@H](O)\C=C\c1c2CCCC(CCc3ccccc3)c2nn1-c1ccc(F)cc1)CC([O-])=O, 540
361,CC(C)c1sc(C2CCCC2)c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 570
362,Cc1ccc(C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c2nnnn2C)c2ccc(C)cc2F)c(F)c1, 580
363,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1cccc(F)c1, 580
364,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1cccs1, 600
365,Cc1nc(C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(n1)-c1ccc(Cl)cc1, 600
366,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccco1, 600
367,Cc1cc(OCc2ccccc2)cc(C)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 620
368,Cc1cc(C)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(\C=C\c2ccc(Cl)cc2)c1, 630
371,O[C@@H]1C[C@@H](CCn2c(ccc2C(F)(F)F)-c2ccc(F)cc2)OC(=O)C1, 631
373,CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC([C@H](C)C[C@@H]3C[C@@H](O)CC(=O)O3)[C@@]12C, 650
374,CC(C)c1nn(c(c1CC[C@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)S(=O)(=O)c1ccc(C)cc1, 660.0
375,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(OCc2ccc(F)cc2)cc1Cl, 670.0
377,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1c(F)c(F)c(F)c(F)c1F, 700
378,CC(C)c1nn(c(c1CC[C@@H]1C[C@H](O)CC(=O)O1)-c1ccc(F)cc1)-c1ccccc1, 700
380,Cc1nc2ccc(Cl)cc2c(-c2ccc(F)cc2)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 720
381,O[C@@H]1CC(CCc2c(Cl)cc(Cl)cc2OCC2CCCCC2)OC(=O)C1, 750
382,NCC(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)NCC(O)=O, 750
383,Cc1cc2-c3ccccc3\C(=C/[C@@H]3C[C@@H](O)CC(=O)O3)c2c(C)c1, 750
384,Cc1ccc(cc1)-c1c(nc(n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C(F)(F)F)-c1ccc(F)cc1, 750
385,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCC=C, 760
386,CSCOc1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 760
387,CC(C)c1cc(C(=O)C(F)(F)F)c(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 800
388,CCC(CC)(c1ccccc1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)-c1ccccc1F, 820
389,Cc1cc2\C(=C/[C@@H]3C[C@@H](O)CC(=O)O3)c3c(cc(C)cc3C)-c2c(C)c1, 830.0
390,CCC(CC)(c1ccccc1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)-c1ccccc1, 850
391,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(F)cc(F)cc1-c1ccc(F)cc1, 860.0
392,CCOC(=O)c1c(CC)n(CC[C@@H]2C[C@@H](O)CC(=O)O2)c(c1-c1ccccc1)-c1ccccc1, 890
394,O[C@@H]1C[C@H](OC(=O)C1)C=C1c2ccccc2-c2ccccc12, 890
398,OC(COc1c(Cl)cc(Cl)cc1C(c1ccc(F)cc1)c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 950
399,CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C(C)C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12, 1000
403,Cc1c(OCC(O)C[C@@H](O)CC([O-])=O)c(nc2ccccc12)-c1ccc(F)cc1, 1000
407,Cc1cc(ccc1F)C(c1ccc(F)c(C)c1)c1cc(Cl)cc(Cl)c1OCC(O)C[C@@H](O)CC([O-])=O, 1000
408,CCCCCOc1cc(Cl)cc(Cl)c1\C=C\[C@@H]1C[C@@H](O)CC(=O)O1, 1000
409,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCCOc1ccc(Cl)cc1, 1000
411,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)=O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C, 1000
412,CC[C@H](C)C(=O)O[C@H]1C[C@H]2[C@@H](CC[C@@H]3C[C@H](O)CC[C@]23C)[C@@H]2CCC(CC[C@H]3C[C@@H](O)CC(=O)O3)[C@@]12C, 1000
415,Cc1nc(C)c(CCC2C[C@@H](O)CC(=O)O2)c(n1)-c1ccc(F)cc1, 1000
417,CC(C)c1sc(c(C=C(C)C)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 1000
418,CCn1nnnc1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 1100
419,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1Oc1ccccc1, 1100
421,CCC(C)(C)C(=O)O[C@H]1C[C@H](C[C@@H]2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12)\C=C\C(C)C, 1200
422,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccccn1, 1200
423,CCC(CC)(c1ccccc1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)-c1cccc(F)c1, 1200
427,Cc1nnnn1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(c1ccc(F)cc1)c1ccc(F)cc1, 1290
428,C[C@@H]1CC(OC(=O)NCCCCCCCCCCC(=O)N[C@@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCc2ccc(cc2)-c2scnc2C)C(C)(C)C)[C@@H]2[C@@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H](C)C=CC2=C1, 1300
429,Cc1ccc(cc1)C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1nnnn1C)c1ccc(C)cc1, 1300
435,COc1ccc(cc1)C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c1nnnn1C)c1ccc(OC)cc1, 1400
436,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C[C@@H]2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H]12, 1400
437,CC(C)c1sc(c(-c2cccs2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1, 1420
438,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCCCc1ccccc1, 1450
439,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 1470
441,CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C(C)O)C3=CCC4C(C)(C)[C@@H](O)CC[C@]4(C)C3CC[C@]12C, 1500
442,CCCCCCCCC#CC#C\C=C/CCCC(O)=O, 1500
445,C\C=C/[C@@H]1C[C@H](OC(C)=O)[C@H]2[C@H](C1)C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1, 1500
446,CCC(C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=CC[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12, 1500
447,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)ccc2ccccc12, 1510
448,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C(=O)NCC(=O)NCC(O)=O, 1520
456,Cc1ccc(C(=C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c2nnnn2C)c2ccc(C)cc2C)c(C)c1, 1600
459,O[C@@H]1C[C@H](OC(=O)C1)C=C1c2ccccc2C=Cc2ccccc12, 1600
462,CCC(C)(C)OC(=O)C(C1CCCCC1)c1cc(C)cc(C)c1OCC(O)C[C@@H](O)CC([O-])=O, 1700
464,CCC(C)(C)C(=O)O[C@@H](CC(C)=C)C1[C@H](O)CC[C@H](C)[C@@H]1CC[C@@H]1C[C@H](CC(=O)O1)O[Si](C)(C)C(C)(C)C, 1700
466,NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)NCC(O)=O, 1780
471,CCC(CC)(c1ccccc1)c1ccc(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(c1)C(C)C, 1800
473,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OC\C=C\c1ccccc1, 1900
474,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1cccc2ccc3ccccc3c12, 1900
478,CC(C)(C)c1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 1995
479,CCC1CCCc2c1nn(c2\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 2000
480,Cc1cc(-c2ccc(F)cc2)c(\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)c(C)n1, 2000
482,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccc(cc1)C#N, 2000
484,CCCCCCCCC#C\C=C\CCCCCC(O)=O, 2000
485,CC1CCCc2c1nn(c2\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 2100
494,COc1ccc(cc1)-c1c(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)c(sc1-c1ccccc1)C(C)C, 2430
495,OC(COc1c(Cl)cc(Cl)cc1C(F)(F)C1CCCCC1)C[C@@H](O)CC([O-])=O, 2500
496,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1ccc(Cl)cc1, 2500
501,Cc1ccc(C2CC3CCC2CC3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 2512
505,Cc1ccc(C2CCCCC2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 2512
509,CC(C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(O)=O, 2560
512,COc1ccc(COc2cc(Cl)cc(Cl)c2\C=C\[C@@H]2C[C@@H](O)CC(=O)O2)cc1, 2600
513,O[C@@H]1C[C@@H](CCn2c(ccc2-c2ccc(F)cc2)C2CC2)OC(=O)C1, 2600
514,CC(C)c1ccc(-c2cccc(F)c2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 2600
515,O[C@H](C[C@H](O)\C=C\c1c2CCCc3ccccc3-c2nn1-c1ccc(F)cc1)CC([O-])=O, 2600
516,O[C@H](C[C@H](O)\C=C\c1c2CCCC(c2nn1-c1ccc(F)cc1)c1ccccc1)CC([O-])=O, 2800
517,CCC(C)(C)C(=O)O[C@@H](C[C@@H](C)CO)C1[C@H](O)CC[C@H](C)[C@@H]1CC[C@@H]1C[C@@H](O)CC(=O)O1, 2800
518,Cc1ccc(-c2ccc(F)cc2)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 2800
519,CO[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CCC3C[C@@H](O)CC(=O)O3)[C@@H]12, 2810
520,CC(C)c1sc(c(c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1cccc(c1)C(F)(F)F)-c1ccccc1, 2980
523,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCCC12CC3CC(CC(C3)C1)C2, 3000
524,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1ccccc1-c1ccccc1, 3000
525,CCCCCCCCC#C\C=C/CCCCCC(O)=O, 3000
526,CCCCC#CC#CCCCCCC(O)=O, 3000
528,CO[C@H]1C[C@H](CCc2c(nn(c2-c2ccc(F)cc2)-c2ccccc2)C(C)C)OC(=O)C1, 3160
536,CC(C)c1ccc(-c2ccccc2F)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 3200
537,Cc1ccc(C2CC3CCC2C=C3)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 3200
538,CC(C)Oc1ccccc1-c1ccc(C(C)C)n1CC[C@@H]1C[C@@H](O)CC(=O)O1, 3200
540,CCC(C)C1CCCc2c1nn(c2\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 3200
541,CC(C)c1ccc(Sc2c(\C=C\[C@@H]3C[C@@H](O)CC(=O)O3)cnc3c(F)c(F)c(F)cc23)cc1, 3210
542,CCCC1CCCc2c1nn(c2\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1, 3400
543,O[C@@H]1C[C@H](OC(=O)C1)\C=C\c1c(Cl)cc(Cl)cc1OCc1cccnc1, 3400
544,CC(C)c1c(OCC(O)C[C@@H](O)CC([O-])=O)c(cc2ccccc12)C(c1ccc(F)cc1)c1ccc(F)cc1, 3500
546,O[C@H](C[C@H](O)\C=C\c1c2CCCCCc2nn1-c1ccc(F)cc1)CC([O-])=O, 3600
547,COc1cccc(Sc2cc3ncc(\C=C\[C@@H]4C[C@@H](O)CC(=O)O4)c(Sc4cccc(OC)c4)c3cc2F)c1, 3640
548,CC[C@@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12, 3690
550,CC(C)OC1C[C@@H](C[C@H](O1)\C=C\c1c(nc(nc1-c1ccc(F)cc1)N(C)S(C)(=O)=O)C(C)C)OCc1ccccc1, 1
551,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccc(F)cc1)S(=O)(=O)Nc1cccc(CC(N)=O)c1, 1
554,COc1cccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)c1, 1.2
555,O[C@H](CCn1c(nc(C(=O)NCc2ccc(F)cc2F)c1C1CC1)-c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 1.2
556,O[C@H](CCn1c(nc(C(=O)NCc2ccc(F)c(F)c2)c1C1CC1)-c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 1.2
557,COc1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1, 1.2
558,O[C@H](CCn1c(nc(C(=O)NCc2cccc(F)c2)c1C1CC1)-c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 1.2
559,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1cccc(c1)C(N)=O)-c1ccccc1)-c1ccc(F)cc1, 1.2
560,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1ccc(cc1)C(=O)N(C)C)-c1ccccc1)-c1ccc(F)cc1, 1.2
561,O[C@@H](CC(O)=O)CC(=O)CCc1ccccc1, 1.3
562,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)Nc1ccc(cc1)C(=O)N(C)C)-c1ccccc1)-c1ccc(F)cc1, 1.4
563,CCC(CC)(CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 1.4
564,O[C@H](CCn1c(nc(C(=O)NCc2ccccc2)c1C1CC1)-c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 1.4
565,CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)N(C)c1ncnn1C, 1.4
566,CCC(C)(CC)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12, 1.4
567,O[C@H](CCn1c(nc(C(=O)NCc2ccccc2F)c1C1CC1)-c1ccc(F)cc1)C[C@@H](O)CC([O-])=O, 1.5
568,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(c1C(=O)NCc1nc(C)cs1)-c1ccccc1)-c1ccc(F)cc1, 1.5
569,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N1CCCC(C1)c1ccccc1)-c1ccc(F)cc1, 1.5
570,CC(C)c1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n(nc1C(=O)N(C)[C@H](C)c1ccccc1)-c1ccc(F)cc1, 1.5
571,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C[C@@H]2C=C[C@H](C)[C@H](CCC(O)C[C@@H](O)CC(O)=O)C12, 1.6
572,CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)NCc1ccc(OC)cc1)-c1ccc(F)cc1, 1.6
573,CCn1c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c(c(C)c1C(=O)NCc1ccc(cc1)C(=O)OC)-c1ccc(F)cc1, 1.6
574,Cc1ccc(CNC(=O)c2nc(-c3ccc(F)cc3)n(CC[C@@H](O)C[C@@H](O)CC([O-])=O)c2C2CC2)cc1, 1.7
575,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(O)=O)c(c(c1C(=O)Nc1ccccc1)-c1ccc(F)cc1)-c1ccc(F)cc1, 1.8
576,COc1cccc(CNC(=O)c2c(c(c(CC[C@@H](O)C[C@@H](O)CC([O-])=O)n2C(C)C)-c2ccc(F)cc2)-c2ccccc2)c1, 1.8
577,CC(C)c1c(c(c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC([O-])=O)-c1ccccc1)S(=O)(=O)N1CCC1, 1.8
579,CC(C)c1cc(C(C)C)c(OCC2C[C@@H](O)CC(=O)O2)c(c1)-c1ccc(F)cc1, 1.8
