,SMILES
93,CN(C)C(=O)CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C
94,CCOC(=O)CNC(=O)c1cn(CC)c2nc(C)ccc2c1=O
95,CC(=O)C=CC1C(C)=CCCC1(C)C
96,Nc1nc(N)nc(-c2ccc([N+](=O)[O-])cc2)n1
97,NC1=NCC(COc2ccc(Cl)cc2)O1
98,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
99,CCCCCCCNc1ncnc2nc[nH]c12
100,Oc1ccc2c(c1)CCCC2
101,CCOc1ccc(C(=O)OCCCn2ccc(=O)c(O)c2C)cc1
102,Nc1nnnn1-c1ccc(Br)cc1
103,S=C=Nc1ccc(-c2ccccc2)cc1
104,COc1ccccc1N1C(=O)CCC1=O
105,CCCCc1csc(-c2ccc(C(C)C(=O)O)cc2)n1
106,CC(C)(C)NSc1nc2ccccc2s1
107,COC(=O)c1c[nH]c(C)c1
108,COc1ccccc1CNc1cccn2nc(Nc3ccc(C)nc3)nc12
109,Clc1cc(Cl)c(Oc2ccccc2)c(Cl)c1
110,CCCCOc1ccc([N+](=O)[O-])cc1
111,CC(C)(C)C(=O)NN
112,c1cncc(CNc2cccn3nc(NCCN4CCOCC4)nc23)c1
113,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
114,O=C(O)c1cn(-c2ccc(O)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O
115,COP(N)(=S)Oc1ccccc1C(=O)OC(C)C
116,Cc1cccc(Nc2sc(-c3cccc(F)c3)cc2C(N)=O)n1
117,Oc1ccc(Nc2ccccc2)cc1
118,CN1C(=O)CN=C(c2ccccc2F)c2cc(I)ccc21
119,Clc1ccc(Br)cc1NC1=NCCN1
120,Cc1nc(Br)n(C)c1[N+](=O)[O-]
121,NC(=O)Cc1ccc(O)cc1
122,N#Cc1cccc(OCC(=O)O)c1
123,COc1ccc(C=CNC=O)cc1
124,Oc1cccc2ncccc12
125,CCN(CC)P(=O)(N(CC)CC)N1CCCC1
126,NC(=O)CCc1cccnc1
127,Nc1ncccn1
128,O=Cc1cccnc1
129,CCOC(=O)c1ccco1
130,NC(=O)c1cc2ccccc2[nH]1
131,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2=O
132,COC1CCN(c2nccc(Nc3cc4nc(-c5cn[nH]c5)cc-4c[nH]3)n2)CC1
133,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CC(F)C(CO)C2)CC1
134,CC1=CCC2CC1C2(C)C
135,Cc1cc(C)c(C)c(C)c1
136,COc1ccccc1N(C)C
137,COc1ccc(C=C2C(=O)NC(=S)NC2=O)cc1
138,CN(C)C(=O)Oc1cccc(N(C)C)c1
139,CCC(C)C1=Nc2ccc(Cl)cc2S(=O)(=O)N1
140,S=c1cc[nH]cc1
141,CN(C)N=Nc1ccc2oc3ccccc3c2c1
142,CN(C)C(=O)COC(=O)c1ccccc1
143,O=C(CCCCN1CC=CCOCc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO
144,CC1NC(=Nc2ncc([N+](=O)[O-])s2)OC1(C)C
145,Cc1ccccc1C(C)C
146,CON(C)C(=O)Nc1ccc(OCCc2ccc(C)cc2)cc1
147,OC1(c2ccc(Cl)cc2)CCCCCC1n1cncn1
148,N#CCc1ccc(O)c2ncccc12
149,N#CC1CC(O)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)F)cc2)n1
150,COc1ccc(C(=O)CS(=O)(=O)c2ccccc2)cc1
151,CCCOc1ccc(NC(=O)OCCN2CCCCC2)cc1
152,CC(C)CS(=O)(=O)NC1CC(N(C)c2[nH]cnc3nccc2-3)C1
153,CC(=O)N(c1ccccc1)c1ccc(C)cc1
154,Cc1oc2cc3oc(=O)ccc3c(C)c2c1C
155,c1ccccc1
156,Nc1ccc(Cc2ccc(N)cc2)cc1
157,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
158,CS(=O)c1sccc1Br
159,N#Cc1ccco1
160,CC(=O)NNC(=O)c1ccccc1N(C)C
161,CN1C(=O)CN=C(c2ccccc2)c2cc(N)ccc21
162,c1ccc2c(c1)OCC(Cc1nc3ccccc3[nH]1)O2
163,CCCCC(C)N=C=S
164,O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O
165,Cc1cccc(C(=O)N(C)C)c1
166,Cc1cccc(Cl)c1C(=O)O
167,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C
168,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
169,COC(=O)c1ccccc1N
170,OCCCCCc1cccnc1
171,CC(C)(Cc1c[nH]c2ccccc12)NCC(O)CON=C(C1CC1)C1CC1
172,Brc1cccc(Br)c1NC1=NCCN1
173,CNC(=O)Oc1cc(Cl)ccc1Cl
174,CN(C)CCCC(c1ccccc1)c1ccccc1
175,c1ccc(-c2cccc(-c3ccccc3)n2)cc1
176,CS(=O)(=O)c1cc[n+]([O-])c2ccccc12
177,Clc1cc(Oc2c(Cl)ccc(Cl)c2Cl)c(Cl)c(Cl)c1Cl
178,Clc1ccc(C2(Cn3cncn3)OCC3(CCC4OC4C3)CO2)c(Cl)c1
179,O=C(Nc1ccccc1)c1ccccc1I
180,Clc1cccc(Cl)c1Oc1ccccc1
181,Cc1ccc(C)c(-n2nnnc2N)c1
182,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
183,CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(-c5cc(C(F)F)ccc5OCC(F)F)cccn4n3)cc2CC1
184,O=C(Oc1ccccc1)c1ccccc1
185,CC(=O)Nc1ccccc1Cl
186,COC(=O)c1cc2nc(S(=O)Cc3ncccc3C)[nH]c2cc1C
187,Cc1ccc(C(C)C)cc1
188,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21
189,Fc1ccc(Cl)cc1
190,CCc1cc2c(s1)N(C)C(=O)CN=C2c1ccccc1Cl
191,CCCCCN(C)CC(=O)Nc1c(C)cccc1C
192,O=C(NN1CC=CCC1)C1CC1
193,CNC(=O)Nc1cccc(Cl)c1
194,Clc1cc(Cl)c2c(oc3c(Cl)ccc(Cl)c32)c1Cl
195,Cc1cccc(Nc2sc(-c3ccc(C(F)(F)F)cc3)cc2C(N)=O)n1
196,NC(=O)Cc1cccs1
197,CCCC(=NOCC)C1=C(O)CC2(CCSCC2)OC1=O
198,COc1ccc(C(=O)c2ccccc2)c(O)c1
199,CCOCC(O)Cn1cnc([N+](=O)[O-])n1
200,CCCC1=Nc2cc(Cl)ccc2S(=O)(=O)N1
201,O=[N+]([O-])c1ccc(C=Cc2ncc[nH]2)o1
202,CCCN1CCOC2c3cccc(O)c3OCC21
203,O=S(=O)(Nc1ccccc1)c1cccc2cccnc12
204,NC(=O)c1cc(-c2ccc(F)c(Cl)c2)cc2c1[nH]c1cc(C(=O)N3CCOCC3)ccc12
205,COC(=O)C(Cl)(Cl)Cl
206,CC(=O)OC1CC2(O)C3CCC4CC(OC5CC(O)C(OC6CC(O)C(OC7CC(O)C(O)C(C)O7)C(C)O6)C(C)O5)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1
207,CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C(N)=O)C(C)C
208,Nc1nc(N)nc(-c2ccccc2Cl)n1
209,Cc1cccc2c([N+](=O)[O-])cc[n+]([O-])c12
210,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12
211,CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1
212,O=C(Nc1ccccc1)c1cc(Cl)ccc1O
213,O=c1cncc[nH]1
214,O=C(O)CSC1=NS(=O)(=O)c2ccc(C(F)(F)F)cc2N1
215,CC(C)NC(=O)Cn1cccc(O)c1=O
216,CCCNc1nc(C)nc(C(Cl)(Cl)Cl)n1
217,NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
218,CC(N)(Cc1ccc(O)cc1)C(=O)O
219,CNC(=S)NC12CC3CC(CC(C3)C1)C2
220,O=C(c1ccco1)c1c(O)c2ccc(Cl)cc2[nH]c1=O
221,O=C(CS(=O)(=O)c1ccccc1)c1ccc(Cl)cc1
222,Cc1sc2ccc3c(C)cc(=O)oc3c2c1C
223,CNc1nc(-c2ccccc2)c2ccccc2n1
224,CC(C)Oc1ccc(C(F)(F)F)cc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12
225,CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CC(O)C(c3ccccc3)C2)CC1
226,O=S(=O)(Nc1ccc(F)cc1)C(F)(F)F
227,O=C(OCC(=O)N1CCC1C(=O)O)c1ccccc1
228,CCCc1ccc2c(c1)C(=O)c1ccc(NC(C)=O)cc1S2(=O)=O
229,COc1ccc(C(=O)NN=Cc2c(CO)ccc(C)c2O)cc1
230,CC(C)N(N=Nc1ccc(C(N)=O)cc1)C(C)C
231,N#CN=[N+]([O-])c1cccc([N+](=O)[O-])c1
232,CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)O
233,CCOc1ccc(NC(=O)OCCBr)cc1OCC
234,Cc1cc(Nc2nccc(Nc3cccc(S(N)(=O)=O)c3)n2)ccc1N1CCN(C)CC1
235,Cc1cccc(C(=O)NN)c1
236,CN(NC(=S)Nc1ccccc1)C(=O)c1ccc([N+](=O)[O-])cc1
237,C[N+](C)(C)CCCl
238,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1C(C)=O
239,c1cc2ccc3cccc4ccc(c1)c2c34
240,CN1CC(=O)N(c2ccccc2)C1=O
241,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21
242,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O
243,CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)NC(CC1CCCCC1)C(O)CC(C(=O)NCCNc1noc(N)n1)C(C)C
244,Cc1c(C#N)sc(S(C)=O)c1-c1ccccc1
245,Cc1c(O)c(=O)ccn1CCN
246,COC1CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(S(=O)(=O)C(F)(F)F)cc4)n3)C(C#N)C2)C1
247,Cc1nc2ccccc2c(=O)n1CC(=O)NCc1ccco1
248,CCCCCCCOc1ccccc1NC(=O)OCCN1CCOCC1
249,CN(C)C(=O)COC(=O)c1ccccc1O
250,CC(=O)c1ccsc1
251,NC(=S)Nc1ccccc1
252,C#CCCC
253,CCCCNC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
254,O=C(O)Cc1ccccc1Nc1c(F)cccc1Cl
255,Cc1ccc(NC(=O)CN2CCCCC2)cc1
256,CCOC(=O)c1c[nH]c2ncnc(-c3ccc4ccccc4c3)c12
257,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl
258,O=C1C=C(N2CCCCC2)C(=O)N1c1ccc(Cl)cc1
259,CC(C)(C)c1ccc([N+](=O)[O-])cc1
260,Clc1cccc(C2NCCS2)c1
261,Nc1ccccc1S(N)(=O)=O
262,CCCCCC=CCC=CCCCCCCCC(=O)O
263,COc1ccc(C=CC(=O)O)cc1
264,Cn1ncc2ccc(-c3cc(C(N)=O)c4[nH]c5cc(C(=O)N6CCOCC6)ccc5c4n3)cc21
265,CC(=O)Oc1ccccc1C(=O)OCCN(C)C(C)=O
266,CCCc1nccnc1C
267,Cc1ccc(NC2=NCCN2)c(Cl)c1
268,CC(C)NCC(O)COCCCc1ccccc1
269,CC1CCCc2nccc(=O)n21
270,CN(C)c1cccc([N+](=O)[O-])c1
271,CCC(NC(C)=O)C(=O)OC
272,OCCCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O
273,CN1CCN(c2nc3c(NCc4cccc([N+](=O)[O-])c4)cccn3n2)CC1
274,CN(C)c1nc2ccccc2o1
275,CCOC(CNC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C)OCC
276,O=C(c1c(O)c2ccc(Cl)cc2[nH]c1=O)c1csc2ccccc12
277,NC(=O)c1ccc(N2CCC(Nc3c(C(N)=O)cnc4[nH]ccc34)CC2)nc1
278,CCC(C)(C)C(=O)O
279,COC(=O)Nc1ccccc1OC
280,OCc1cccc2ccccc12
281,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1)n1cncn1
282,COc1ccc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)c(F)c1
283,OCCN1CC=C(c2ccccc2)CC1
284,COC(=O)c1cncc(OC)n1
285,O=C(O)CCN1CCCCC1
286,CC(=O)C(=Cc1ccc(Cl)cc1)C(C)=O
287,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)NCC#N
288,CC(Nc1nc(Nc2cn(C)cn2)c2cc(F)cnc2n1)c1ncc(F)cn1
289,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O
290,COc1ccc(S(N)(=O)=O)c(NC(=O)C(C)C)c1
291,CCO[Si](OCC)(c1ccccc1)c1ccccc1
292,CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1ccccn1
293,COc1cc(Br)c(Cc2cnc(N)nc2N)cc1OC
294,OCC(Br)(Br)Br
295,COc1cccc(S(I)=C(N(C)C)N(C)C)c1
296,CCC(C)C(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)O)C(C)CC
297,c1ccc(Oc2ccccc2)cc1
298,CC(=NNC(N)=Nc1ccccc1)c1ccccc1
299,COc1ccc2nc(N)[nH]c2c1
300,CCC(O)(C(=O)O)c1ccc(CC(C)C)cc1
301,COc1cc(OS(C)(=O)=O)ccc1-c1cn2cccnc2n1
302,Cc1cc(Cl)ccc1OC(C)C(=O)O
303,Cc1ccccc1C(=O)NN
304,O=[N+]([O-])c1cccc2c1ccc[n+]2[O-]
305,COc1cc(Cl)c(Cl)c(Cl)c1O
306,COC(=O)c1c(O)c2ccc(Cl)cc2[nH]c1=O
307,Cc1cccc(OCC2CN=C(N)O2)c1
308,O=[N+]([O-])c1cnc2ccccc2c1
309,CC1(C)CCC(C)(C)O1
310,NC(C(=O)O)c1ccccc1
311,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C
312,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
313,CC(=O)c1ccc[nH]1
314,CN(C)CCOC(=O)c1ccc(C#N)cc1
315,CC(C)(C)c1cccc(OCC(=O)O)c1
316,CCOC1OC2OC3(C)CCC4C(CO)CCC(C1C)C24OO3
317,O=C1C=CC(=O)N1
318,C1=CC=CCC=C1
319,Cc1cccc(C(=O)N2CCCCC2)c1
320,Cc1cc(Cl)cc(C)c1NC1=NCCN1
321,O=c1cc(-c2nc(C3CCNCC3)[nH]c2-c2ccc(F)cc2)cc[nH]1
322,CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12
323,NC(=O)c1cccc(N)c1
324,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
325,CC(C)C(=O)NS(=O)(=O)c1ccccc1N
326,CCc1ccccc1OCC(=O)O
327,CC(=O)OCCN1CCSC1=Nc1ncc([N+](=O)[O-])s1
328,CCCN1CCOC2c3cc(O)ccc3CCC21
329,Nc1nc(=S)c2ncn(C3CCC(CO)O3)c2[nH]1
330,Nc1nc(=O)n(C2CCC(CO)O2)cc1I
331,C#CCOc1cc(NC=NOCOC)cc(Cl)c1OCC#C
332,Cc1oc2nc3oc(=O)cc(C)c3cc2c1C
